bgrid,bgrname,bgrseverity,bgrassignedto,bgrreportedby,bgrreportedon,bgrstatus,bgrenvironment,bgrdesc
bgrid20,Incompatible systems,low,Caleb2,Caleb46,6/4/2016,not started,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid21,Division by zero.,low,Caleb1,Caleb1,4/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid22,infinite recursionIncorrect protocol implementation,medium,Caleb11,Caleb2,3/6/2016,not started,Sbx,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid23,Incorrect hardware handling,low,Caleb12,Caleb32,3/6/2016,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid24,Infinite loops ,medium,Caleb2,Caleb2,10/8/2015,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid25,infinite recursionIncorrect protocol implementation,medium,Caleb25,Caleb2,3/6/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid26,Infinite loops ,high,Caleb22,Caleb1,11/7/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid27,Incompatible systems,medium,Caleb30,Caleb2,5/5/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid28,Division by zero.,high,Caleb41,Caleb36,1/6/2016,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid29,Incorrect hardware handling,low,Caleb49,Caleb2,3/6/2016,in progress,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid30,Incorrect assumptions of a particular platform,low,Caleb45,Caleb1,9/8/2015,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid31,Division by zero.,low,Caleb1,Caleb1,1/6/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid32,Unpropagated updates,low,Caleb1,Caleb14,1/6/2016,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid33,Division by zero.,high,Caleb41,Caleb2,11/7/2015,fixed,Act,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid34,infinite recursionIncorrect protocol implementation,high,Caleb28,Caleb24,9/8/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid35,infinite recursionIncorrect protocol implementation,medium,Caleb47,Caleb1,12/7/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid36,Division by zero.,low,Caleb1,Caleb34,1/6/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid37,Unpropagated updates,low,Caleb41,Caleb40,4/5/2016,fixed,Test,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid38,Incorrect assumptions of a particular platform,medium,Caleb1,Caleb2,12/7/2015,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid39,Incorrect hardware handling,low,Caleb21,Caleb7,2/5/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid40,Unpropagated updates,low,Caleb1,Caleb3,10/8/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid41,Infinite loops ,high,Caleb27,Caleb1,4/5/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid42,Incorrect hardware handling,medium,Caleb1,Caleb1,9/8/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid43,Division by zero.,medium,Caleb20,Caleb34,9/8/2015,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid44,Incorrect assumptions of a particular platform,medium,Caleb2,Caleb2,6/4/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid45,Incorrect hardware handling,high,Caleb2,Caleb25,9/8/2015,fixed,UTE,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid46,Incorrect assumptions of a particular platform,low,Caleb2,Caleb2,11/7/2015,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid47,Infinite loops ,low,Caleb1,Caleb2,4/5/2016,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid48,Incorrect hardware handling,medium,Caleb2,Caleb1,3/6/2016,in progress,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid49,Unpropagated updates,high,Caleb2,Caleb2,5/5/2016,not started,Dev,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid50,Incorrect assumptions of a particular platform,high,Caleb2,Caleb49,6/4/2016,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid51,infinite recursionIncorrect protocol implementation,high,Caleb42,Caleb32,10/8/2015,fixed,Act,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid52,Incorrect hardware handling,high,Caleb2,Caleb2,9/8/2015,fixed,Sbx,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid53,Arithmetic overflow,high,Caleb1,Caleb2,5/5/2016,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid54,Differences between documentation and product,low,Caleb1,Caleb1,6/4/2016,fixed,Dev,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid55,Differences between documentation and product,low,Caleb3,Caleb1,6/4/2016,not started,Dev,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid56,Division by zero.,medium,Caleb27,Caleb1,12/7/2015,in progress,UTE,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid57,Arithmetic overflow,medium,Caleb2,Caleb2,10/8/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid58,Infinite loops ,medium,Caleb1,Caleb1,3/6/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid59,Unpropagated updates,high,Caleb1,Caleb1,6/4/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid60,Incorrect hardware handling,high,Caleb1,Caleb2,9/8/2015,fixed,Sbx,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid61,Incorrect assumptions of a particular platform,low,Caleb34,Caleb28,10/8/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid62,Unpropagated updates,low,Caleb2,Caleb1,2/5/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid63,Incorrect hardware handling,low,Caleb46,Caleb1,1/6/2016,fixed,Sbx,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid64,Infinite loops ,low,Caleb2,Caleb1,5/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid65,Infinite loops ,medium,Caleb1,Caleb1,5/5/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid66,Division by zero.,high,Caleb1,Caleb38,2/5/2016,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid67,Differences between documentation and product,medium,Caleb46,Caleb31,11/7/2015,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid68,Differences between documentation and product,medium,Caleb34,Caleb2,10/8/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid69,Infinite loops ,medium,Caleb39,Caleb17,5/5/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid70,Incorrect hardware handling,high,Caleb1,Caleb1,1/6/2016,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid71,Infinite loops ,medium,Caleb47,Caleb2,9/8/2015,in progress,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid72,Division by zero.,medium,Caleb2,Caleb1,1/6/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid73,infinite recursionIncorrect protocol implementation,medium,Caleb2,Caleb2,5/5/2016,fixed,Act,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid74,Arithmetic overflow,medium,Caleb2,Caleb2,9/8/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid75,Arithmetic overflow,high,Caleb1,Caleb3,1/6/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid76,Incompatible systems,high,Caleb1,Caleb46,4/5/2016,in progress,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid77,Arithmetic overflow,medium,Caleb1,Caleb1,9/8/2015,fixed,Act,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid78,Division by zero.,medium,Caleb1,Caleb1,10/8/2015,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid79,Incorrect assumptions of a particular platform,low,Caleb2,Caleb22,5/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid80,Incompatible systems,medium,Caleb1,Caleb29,3/6/2016,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid81,Differences between documentation and product,high,Caleb1,Caleb2,12/7/2015,in progress,Act,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid82,infinite recursionIncorrect protocol implementation,medium,Caleb1,Caleb2,11/7/2015,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid83,Differences between documentation and product,high,Caleb1,Caleb2,9/8/2015,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid84,Differences between documentation and product,medium,Caleb1,Caleb4,6/4/2016,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid85,Incorrect assumptions of a particular platform,high,Caleb2,Caleb17,5/5/2016,in progress,Act,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid86,Incorrect hardware handling,low,Caleb50,Caleb2,5/5/2016,not started,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid87,Incompatible systems,high,Caleb24,Caleb26,3/6/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid88,Division by zero.,medium,Caleb4,Caleb2,12/7/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid89,Differences between documentation and product,low,Caleb1,Caleb18,3/6/2016,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid90,Division by zero.,low,Caleb27,Caleb2,3/6/2016,fixed,Sbx,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid91,Incorrect hardware handling,low,Caleb1,Caleb2,5/5/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid92,Division by zero.,high,Caleb1,Caleb2,11/7/2015,not started,Sbx,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid93,Incorrect assumptions of a particular platform,medium,Caleb1,Caleb30,1/6/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid94,Unpropagated updates,low,Caleb1,Caleb1,4/5/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid95,Differences between documentation and product,high,Caleb1,Caleb2,1/6/2016,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid96,Incorrect assumptions of a particular platform,low,Caleb3,Caleb23,9/8/2015,in progress,Test,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid97,Incorrect hardware handling,medium,Caleb1,Caleb9,2/5/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid98,Division by zero.,medium,Caleb1,Caleb1,5/5/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid99,Unpropagated updates,medium,Caleb2,Caleb1,11/7/2015,fixed,Test,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid100,Incompatible systems,low,Caleb22,Caleb12,3/6/2016,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid101,Incompatible systems,medium,Caleb1,Caleb1,11/7/2015,not started,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid102,Incorrect assumptions of a particular platform,low,Caleb21,Caleb1,12/7/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid103,Incompatible systems,low,Caleb2,Caleb13,10/8/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid104,Differences between documentation and product,high,Caleb1,Caleb41,6/4/2016,not started,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid105,Division by zero.,medium,Caleb2,Caleb47,1/6/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid106,Incompatible systems,high,Caleb2,Caleb1,12/7/2015,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid107,Incorrect assumptions of a particular platform,high,Caleb26,Caleb1,3/6/2016,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid108,Arithmetic overflow,low,Caleb39,Caleb42,10/8/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid109,Differences between documentation and product,medium,Caleb1,Caleb1,10/8/2015,fixed,UTE,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid110,Differences between documentation and product,high,Caleb2,Caleb2,6/4/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid111,Division by zero.,medium,Caleb50,Caleb13,1/6/2016,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid112,Differences between documentation and product,high,Caleb1,Caleb1,9/8/2015,fixed,Dev,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid113,Unpropagated updates,medium,Caleb1,Caleb1,12/7/2015,fixed,UTE,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid114,Incorrect assumptions of a particular platform,high,Caleb2,Caleb2,6/4/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid115,infinite recursionIncorrect protocol implementation,high,Caleb2,Caleb2,1/6/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid116,Unpropagated updates,low,Caleb35,Caleb2,1/6/2016,in progress,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid117,Incompatible systems,low,Caleb2,Caleb41,9/8/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid118,Incompatible systems,medium,Caleb1,Caleb1,6/4/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid119,Incompatible systems,high,Caleb2,Caleb2,6/4/2016,not started,UTE,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid120,Division by zero.,low,Caleb1,Caleb46,10/8/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid121,Unpropagated updates,medium,Caleb1,Caleb1,1/6/2016,not started,UTE,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid122,Infinite loops ,medium,Caleb2,Caleb50,5/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid123,Unpropagated updates,medium,Caleb2,Caleb25,9/8/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid124,Incorrect assumptions of a particular platform,low,Caleb1,Caleb1,3/6/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid125,infinite recursionIncorrect protocol implementation,medium,Caleb2,Caleb1,5/5/2016,not started,Dev,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid126,Differences between documentation and product,low,Caleb2,Caleb2,1/6/2016,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid127,infinite recursionIncorrect protocol implementation,high,Caleb2,Caleb2,2/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid128,Incompatible systems,medium,Caleb14,Caleb2,2/5/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid129,Infinite loops ,low,Caleb4,Caleb1,4/5/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid130,Arithmetic overflow,low,Caleb11,Caleb1,3/6/2016,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid131,Unpropagated updates,medium,Caleb1,Caleb2,5/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid132,Arithmetic overflow,high,Caleb2,Caleb49,12/7/2015,not started,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid133,Incompatible systems,low,Caleb1,Caleb1,11/7/2015,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid134,Differences between documentation and product,low,Caleb38,Caleb1,9/8/2015,not started,Act,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid135,Infinite loops ,low,Caleb8,Caleb1,11/7/2015,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid136,Differences between documentation and product,high,Caleb33,Caleb42,6/4/2016,in progress,Dev,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid137,Differences between documentation and product,medium,Caleb25,Caleb2,12/7/2015,fixed,Act,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid138,Differences between documentation and product,low,Caleb17,Caleb43,10/8/2015,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid139,infinite recursionIncorrect protocol implementation,low,Caleb1,Caleb8,12/7/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid140,Incorrect hardware handling,high,Caleb11,Caleb41,12/7/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid141,Unpropagated updates,medium,Caleb2,Caleb32,5/5/2016,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid142,Division by zero.,medium,Caleb1,Caleb26,10/8/2015,not started,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
